Publish Date,Text
2023-06-16 08:46,隆平高科：融资净偿还356.88万元，融资余额4.78亿元
2023-06-16 07:58,隆平高科06月15日被深股通减持47.8万股
2023-06-15 08:51,隆平高科：融资净偿还208.24万元，融资余额4.81亿元
2023-06-15 07:55,隆平高科06月14日被深股通减持10.84万股
2023-06-14 08:32,隆平高科：长期服务计划之第一期员工持股计划第一个锁定期2023年6月17日届满
2023-06-14 08:38,隆平高科：融资净买入12.21万元，融资余额4.83亿元
2023-06-14 07:59,隆平高科06月13日获深股通增持107.61万股
2023-06-13 08:44,隆平高科：融资净买入483.9万元，融资余额4.83亿元
2023-06-13 07:55,隆平高科06月12日获深股通增持13.09万股
2023-06-12 08:51,隆平高科：融资净偿还1292.84万元，融资余额4.78亿元
2023-06-11 03:08,隆平高科本周融资净买入1280.26万元，居农牧饲渔板块第四
2023-06-11 02:11,隆平高科本周深股通持股市值减少3276万元，居农牧饲渔板块第四
2023-06-09 08:46,隆平高科：融资净买入1654.59万元，融资余额4.91亿元
2023-06-09 07:44,隆平高科06月08日被深股通减持100.72万股
2023-06-08 08:45,隆平高科：融资净偿还556.46万元，融资余额4.75亿元
2023-06-08 07:57,隆平高科06月07日获深股通增持8.7万股
2023-06-07 08:48,隆平高科：融资净偿还90.17万元，融资余额4.8亿元
2023-06-07 07:57,隆平高科06月06日被深股通减持105.38万股
2023-06-06 08:45,隆平高科：连续3日融资净买入累计647.29万元
2023-06-06 08:00,隆平高科06月05日被深股通减持24.27万股
2023-06-05 08:43,隆平高科：融资净买入341.53万元，融资余额4.78亿元
2023-06-04 03:07,隆平高科本周融资净偿还326.93万元，居农牧饲渔板块第十八
2023-06-04 02:10,隆平高科本周深股通持股市值减少2948.19万元，居农牧饲渔板块第二
2023-06-03 07:54,隆平高科06月02日被深股通减持63.97万股
2023-06-02 08:47,隆平高科：融资净买入33.45万元，融资余额4.75亿元
2023-06-02 07:59,隆平高科06月01日被深股通减持51.19万股
2023-06-01 08:42,隆平高科：融资余额4.75亿元，创近一年新低
2023-06-01 08:00,隆平高科05月31日被深股通减持13.63万股
2023-05-31 08:42,隆平高科：融资余额4.77亿元，创近一年新低
2023-05-31 08:01,隆平高科05月30日被深股通减持53.81万股
2023-05-30 08:40,隆平高科：融资净买入8691元，融资余额4.78亿元
2023-05-30 07:59,隆平高科05月29日被深股通减持17.49万股
2023-05-29 08:48,隆平高科：融资净偿还344.02万元，融资余额4.78亿元
2023-05-28 03:07,隆平高科连续2周融资净偿还合计4549.74万元
2023-05-28 02:11,深股通连续3周净卖出隆平高科 累计净卖出4845.93万元
2023-05-26 08:40,隆平高科：融资净买入346.85万元，融资余额4.82亿元
2023-05-26 08:00,隆平高科05月25日被深股通减持27.05万股
2023-05-25 08:40,隆平高科：融资余额4.78亿元，创近一年新低
2023-05-25 07:58,隆平高科05月24日被深股通减持20.45万股
2023-05-24 08:41,隆平高科：融资净买入66.45万元，融资余额4.8亿元
2023-05-24 07:53,隆平高科05月23日被深股通减持15.92万股
2023-05-23 08:43,隆平高科：融资余额4.8亿元，创近一年新低
2023-05-23 07:54,隆平高科05月22日被深股通减持12.02万股
2023-05-22 08:39,隆平高科：融资净买入51.01万元，融资余额4.82亿元
2023-05-21 03:09,隆平高科本周融资净偿还4573.63万元，居农牧饲渔板块第二
2023-05-21 02:09,隆平高科本周深股通持股市值减少571.55万元，居农牧饲渔板块第十
2023-05-20 07:58,隆平高科05月19日被深股通减持15.95万股
2023-05-19 08:42,隆平高科：融资余额4.81亿元，创近一年新低
2023-05-19 08:07,隆平高科05月18日被深股通减持72.69万股
2023-05-18 08:39,隆平高科：融资余额4.85亿元，创近一年新低
2023-05-18 07:58,隆平高科05月17日被深股通减持28.71万股
2023-05-17 08:41,隆平高科：连续3日融资净偿还累计831.34万元
2023-05-17 08:01,隆平高科05月16日被深股通减持62.4万股
2023-05-16 08:40,隆平高科：融资净偿还572.94万元，融资余额5.21亿元
2023-05-16 08:03,隆平高科05月15日获深股通增持140.66万股
2023-05-15 08:45,隆平高科：融资净偿还113.98万元，融资余额5.27亿元
2023-05-14 03:09,隆平高科本周融资净买入121.55万元，居农牧饲渔板块第十四
2023-05-14 02:11,隆平高科本周深股通持股市值减少3149.32万元，居农牧饲渔板块第五
2023-05-12 08:54,浙商证券维持隆平高科买入评级 预计2023年净利润同比增长129.55%
2023-05-12 08:42,隆平高科：融资净买入355.79万元，融资余额5.28亿元
2023-05-11 06:01,沪深两市5月11日103只个股发生169笔大宗交易 共成交22.46亿元
2023-05-11 05:42,隆平高科今日大宗交易平台共发生5笔成交 成交金额2.22亿元
2023-05-11 05:25,隆平高科5月11日现5笔大宗交易
2023-05-11 05:12,隆平高科现5笔大宗交易 总成交金额2.22亿元
2023-05-11 01:23,东兴证券维持隆平高科强烈推荐评级 预计2023年净利润同比增长120.77%
2023-05-11 08:44,隆平高科：融资净买入1016.42万元，融资余额5.25亿元
2023-05-11 08:00,隆平高科05月10日被深股通减持84.62万股
2023-05-10 08:43,隆平高科：融资净偿还568.57万元，融资余额5.15亿元
2023-05-10 08:00,隆平高科05月09日被深股通减持78.02万股
2023-05-09 08:41,隆平高科：融资净偿还682.09万元，融资余额5.2亿元
2023-05-09 07:50,隆平高科05月08日被深股通减持41.55万股
2023-05-08 03:06,国信证券维持隆平高科买入评级 预计2023年净利润同比增长140.28%
2023-05-08 03:06,太平洋维持隆平高科买入评级 目标价20.25元
2023-05-08 01:35,隆平高科：公司市场主导玉米品种裕丰303、中科玉505等均已完成生物育种产业化各项准备工作
2023-05-08 08:41,隆平高科：连续3日融资净买入累计1949.86万元
2023-05-05 08:49,隆平高科：融资净买入965.63万元，融资余额5.22亿元
2023-05-05 08:02,隆平高科05月04日获深股通增持406.12万股
2023-05-04 11:05,西部证券维持隆平高科增持评级 预计2023年净利润同比增长141.76%
