Publish Date,Text
2023-05-30,800余名海外客商齐聚 柳工举行第三届全球客户节
2023-05-30,柳工：融资余额3.23亿元，创近一年新低
2023-05-30,柳工05月29日获深股通增持132.5万股
2023-05-29,柳工：融资净买入78.47万元，融资余额3.24亿元
2023-05-28,柳工本周融资净偿还576.7万元，居工程机械板块第六
2023-05-28,柳工本周深股通持股市值增加2120.37万元，居工程机械板块第三
2023-05-26,柳工：融资净买入29.02万元，融资余额3.24亿元
2023-05-26,柳工05月25日获深股通增持71.25万股
2023-05-25,柳工：融资余额3.23亿元，创近一年新低
2023-05-25,柳工05月24日获深股通增持107.02万股
2023-05-24,中信证券首次给予柳工买入评级 目标价9.2元
2023-05-24,柳工：融资余额3.26亿元，创近一年新低
2023-05-24,柳工05月23日被深股通减持115.91万股
2023-05-23,柳工：融资余额3.28亿元，创近一年新低
2023-05-23,柳工05月22日获深股通增持225.76万股
2023-05-22,柳工：融资净买入6.38万元，融资余额3.29亿元
2023-05-21,柳工本周融资净偿还397.9万元，居工程机械板块第五
2023-05-21,柳工本周深股通持股市值增加1070.46万元，居工程机械板块第六
2023-05-20,柳工05月19日获深股通增持24.75万股
2023-05-19,柳工：融资余额3.29亿元，创近一年新低
2023-05-19,柳工05月18日获深股通增持116.61万股
2023-05-18,柳工：融资余额3.3亿元，创近一年新低
2023-05-18,柳工05月17日获深股通增持93.98万股
2023-05-17,柳工：黄铁柱辞去公司财务负责人及下属子公司和分支机构的所有职务
2023-05-17,柳工：融资余额3.32亿元，创近一年新低
2023-05-17,柳工05月16日被深股通减持84.07万股
2023-05-16,柳工：融资净买入76.89万元，融资余额3.34亿元
2023-05-16,柳工05月15日被深股通减持10.73万股
2023-05-15,柳工：融资余额3.33亿元，创近一年新低
2023-05-14,柳工本周融资净偿还316.09万元，居工程机械板块第五
2023-05-14,柳工本周深股通持股市值减少685.99万元，居工程机械板块第四
2023-05-13,柳工05月12日被深股通减持98.27万股
2023-05-12,柳工：融资余额3.37亿元，创近一年新低
2023-05-12,柳工05月11日被深股通减持209.13万股
2023-05-11,内销疲软挖机旺季“失约” 业内预判：工程机械长周期拐点或待来年|行业动态
2023-05-11,柳工：融资净偿还305.85万元，融资余额3.4亿元
2023-05-11,柳工05月10日获深股通增持229.89万股
2023-05-10,柳工：融资净买入224.41万元，融资余额3.43亿元
2023-05-10,柳工05月09日被深股通减持65.86万股
2023-05-09,柳工：融资净买入41.92万元，融资余额3.41亿元
2023-05-09,柳工05月08日获深股通增持58.95万股
2023-05-08,太平洋维持柳工买入评级 预计2023年净利润同比增长50.21%
2023-05-08,太平洋给予柳工买入评级 Q1业绩好于行业 新业务+国际化强化成长动能
2023-05-08,柳工：融资净偿还31.05万元，融资余额3.4亿元
2023-05-06,【调研快报】柳工接待中信证券等多家机构调研
2023-05-05,柳工：柳工是平陆运河项目的主要土方机械供应商之一 目前共租赁和销售土方机械200台左右
2023-05-05,柳工：融资净买入188.87万元，融资余额3.41亿元
2023-05-05,柳工05月04日获深股通增持88.63万股
2023-05-04,柳工：融资余额3.39亿元，创近一年新低
2023-05-03,柳工本周融资净偿还77.31万元，居工程机械板块第十二
2023-05-03,柳工本周深股通持股市值增加5174.98万元，居工程机械板块第三
2023-04-29,柳工04月28日获深股通增持792.11万股
2023-04-28,柳工2022年度分配预案：拟10派1元
2023-04-28,柳工4月28日盘中涨幅达5%
2023-04-28,柳工4月28日快速上涨
2023-04-28,柳工：融资净买入56.7万元，融资余额3.6亿元
2023-04-28,柳工04月27日被深股通减持142.99万股
2023-04-28,柳工：一季度归母净利润3.15亿元，同比增长23.73%
2023-04-27,柳工：2022年净利润同比下降39.9%，拟10派1
2023-04-27,柳工：2023年一季度净利润同比增长23.73%
2023-04-27,柳工股东户数下降3.90%，户均持股11.54万元
2023-04-27,柳工：融资余额3.59亿元，创近一年新低
2023-04-27,柳工04月26日被深股通减持12.07万股
2023-04-26,柳工：融资净买入65.08万元，融资余额3.61亿元
2023-04-26,柳工04月25日获深股通增持48.67万股
2023-04-25,柳工：融资余额3.6亿元，创近一年新低
2023-04-25,柳工04月24日被深股通减持14.8万股
2023-04-24,柳工：融资余额3.61亿元，创近一年新低
2023-04-23,柳工本周融资净偿还962.6万元，居工程机械板块第四
2023-04-23,柳工本周深股通持股市值增加847.43万元，居工程机械板块第七
2023-04-22,柳工04月21日获深股通增持16.65万股
2023-04-21,柳工：今年一季度 公司国际业务再创新高
2023-04-21,柳工：融资净偿还607.18万元，融资余额3.64亿元
2023-04-21,柳工04月20日获深股通增持48.32万股
2023-04-20,柳工：高级副总裁俞传芬窗口期违规减持公司股票
2023-04-20,柳工：融资净买入45.24万元，融资余额3.7亿元
2023-04-20,柳工04月19日被深股通减持12.07万股
2023-04-19,柳工：连续3日融资净偿还累计519.98万元
2023-04-19,柳工04月18日被深股通减持41.7万股
2023-04-18,柳工：3000万张“柳工转2”于4月20日起挂牌交易
