Publish Date,Text
2023-05-30,凯利泰：融资净偿还127.7万元，融资余额3.6亿元
2023-05-30,凯利泰05月29日获深股通增持4.22万股
2023-05-29,凯利泰：融资净偿还30.48万元，融资余额3.62亿元
2023-05-28,凯利泰连续5周融资净偿还合计1357.84万元
2023-05-28,凯利泰本周被深股通减持48.98万股 最新持股量1571.7万股
2023-05-26,凯利泰：融资净买入231.52万元，融资余额3.62亿元
2023-05-26,凯利泰05月25日被深股通减持18.61万股
2023-05-25,凯利泰：融资净买入74.9万元，融资余额3.6亿元
2023-05-25,凯利泰05月24日被深股通减持5.99万股
2023-05-24,凯利泰：连续4日融资净偿还累计886.33万元
2023-05-24,凯利泰05月23日被深股通减持5.34万股
2023-05-23,凯利泰：连续3日融资净偿还累计546.84万元
2023-05-23,凯利泰05月22日被深股通减持19.04万股
2023-05-22,凯利泰：融资净偿还274.45万元，融资余额3.64亿元
2023-05-21,融资融券周汇总：凯利泰本周融资净买入70.68万元
2023-05-21,凯利泰本周获深股通增持41.33万股 最新持股量1620.68万股
2023-05-20,凯利泰05月19日获深股通增持23.21万股
2023-05-19,凯利泰：融资净偿还120.76万元，融资余额3.66亿元
2023-05-19,凯利泰05月18日被深股通减持12.81万股
2023-05-18,凯利泰：融资净买入330.89万元，融资余额3.68亿元
2023-05-18,凯利泰05月17日获深股通增持34.55万股
2023-05-17,凯利泰：融资净偿还286.55万元，融资余额3.64亿元
2023-05-17,凯利泰05月16日被深股通减持6.16万股
2023-05-16,凯利泰：融资净买入147.1万元，融资余额3.67亿元
2023-05-16,凯利泰05月15日获深股通增持2.54万股
2023-05-15,凯利泰：连续4日融资净偿还累计346.81万元
2023-05-14,凯利泰连续3周融资净偿还合计906.83万元
2023-05-14,深股通连续2周净卖出凯利泰 累计净卖出741.98万元
2023-05-12,凯利泰：连续3日融资净偿还累计284.26万元
2023-05-12,凯利泰05月11日被深股通减持23.68万股
2023-05-11,凯利泰：融资净偿还74.19万元，融资余额3.67亿元
2023-05-11,凯利泰05月10日获深股通增持9.1万股
2023-05-10,凯利泰：融资净偿还129.42万元，融资余额3.68亿元
2023-05-10,凯利泰05月09日获深股通增持7.27万股
2023-05-09,凯利泰：融资净买入110.23万元，融资余额3.69亿元
2023-05-09,凯利泰05月08日被深股通减持34.89万股
2023-05-08,凯利泰：融资净买入69.12万元，融资余额3.68亿元
2023-05-06,凯利泰05月05日被深股通减持73.64万股
2023-05-05,凯利泰：连续4日融资净偿还累计1830.11万元
2023-05-05,凯利泰05月04日获深股通增持8.47万股
2023-05-04,凯利泰：连续3日融资净偿还累计1679.03万元
2023-05-03,融资融券周汇总：凯利泰本周融资净偿还370.46万元
2023-05-03,凯利泰本周获深股通增持60.24万股 最新持股量1685.35万股
2023-04-29,凯利泰04月28日被深股通减持41.2万股
2023-04-28,凯利泰：融资净偿还758.84万元，融资余额3.72亿元
2023-04-28,凯利泰04月27日获深股通增持17.52万股
2023-04-27,凯利泰：融资净偿还639.83万元，融资余额3.79亿元
2023-04-27,凯利泰04月26日获深股通增持54.91万股
2023-04-26,华泰证券维持凯利泰增持评级 目标价7.24元
2023-04-26,凯利泰4月26日盘中涨幅达5%
2023-04-26,凯利泰4月26日快速上涨
2023-04-26,凯利泰：连续3日融资净买入累计1306.54万元
2023-04-26,凯利泰04月25日获深股通增持13.59万股
2023-04-25,凯利泰股东户数下降4.81%，户均持股9.67万元
2023-04-25,凯利泰：2023年一季度净利润同比下降0.78%
2023-04-25,凯利泰：2023年第一季度净利润约7490万元 同比下降0.78%
2023-04-25,凯利泰：融资净买入775.8万元，融资余额3.83亿元
2023-04-25,凯利泰04月24日获深股通增持15.43万股
2023-04-24,凯利泰：融资净买入278.33万元，融资余额3.75亿元
2023-04-23,凯利泰本周融资净买入1969.39万元，居医疗器械板块第八
2023-04-23,凯利泰本周被深股通减持92.69万股 最新持股量1625.11万股
2023-04-22,凯利泰04月21日被深股通减持44.35万股
2023-04-21,注意！凯利泰将于5月24日召开股东大会
2023-04-21,凯利泰：2022年度净利润约-2128万元
2023-04-21,凯利泰：2022年净利润-2128.25万，上年盈利1.62亿元
2023-04-21,凯利泰：融资净偿还205.42万元，融资余额3.73亿元
2023-04-21,凯利泰04月20日被深股通减持16.61万股
2023-04-20,凯利泰：连续4日融资净买入累计2437.25万元
2023-04-20,凯利泰04月19日获深股通增持3.73万股
2023-04-19,凯利泰：连续3日融资净买入累计1755.35万元
2023-04-19,凯利泰04月18日被深股通减持6.04万股
2023-04-18,凯利泰：融资净买入639.23万元，融资余额3.59亿元
2023-04-18,凯利泰04月17日被深股通减持29.43万股
2023-04-17,凯利泰：融资净买入262.45万元，融资余额3.53亿元
2023-04-16,凯利泰连续4周融资净偿还合计2886.23万元
2023-04-16,凯利泰本周获深股通增持51.56万股 最新持股量1717.81万股
2023-04-15,凯利泰04月14日获深股通增持56.14万股
2023-04-14,凯利泰：融资净偿还708.72万元，融资余额3.5亿元
2023-04-14,凯利泰04月13日获深股通增持44.01万股
2023-04-13,凯利泰：连续3日融资净买入累计315.65万元
